date,surface_pressure,temperature_2m,total_evaporation_sum,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
2010-01-01,100953.81022135417,298.3878281911214,-0.0019010752439498901,0.0,-0.4150168100992839,-1.4591291745503743,0.08681933085123698
2010-01-02,101126.22623697917,299.45250574747723,-0.001738646999001503,8.52346317969932e-07,-0.2009131113688151,-0.5562335252761841,0.08668963114420573
2010-01-03,101218.51220703125,299.2830416361491,-0.0023151813074946404,8.52346317969932e-07,0.814178466796875,-3.54844331741333,0.08661651611328125
2010-01-04,101073.74495442708,297.84637514750165,-0.002644645981490612,0.0,1.0142718156178792,-4.286561648050944,0.08653831481933594
2010-01-05,100887.51009114583,297.65747197469074,-0.0021251533180475235,4.351138045421976e-07,0.6143111785252889,-2.7290491263071694,0.08647346496582031
2010-01-06,100811.44954427083,298.6045144399007,-0.002157321199774742,0.0,-0.7509803771972656,-1.6030750274658203,0.08637237548828125
2010-01-07,100962.51285807292,298.55172475179035,-0.002357015386223793,8.52346317969932e-07,-0.9654006958007812,-0.7374210357666016,0.08626365661621094
2010-01-08,101026.89029947917,298.4861545562744,-0.002371145412325859,0.0,-0.8131688435872396,-0.9634784460067749,0.08616828918457031
2010-01-09,101012.06770833333,298.4312057495117,-0.00232616625726223,0.0,-0.5382750829060873,-1.851961652437846,0.0860748291015625
2010-01-10,101027.81559244792,298.25689633687335,-0.0018703844398260117,1.2802358355656906e-06,0.2111408313115438,-1.7267450094223022,0.08598772684733073
2010-01-11,101068.98828125,298.6654567718506,-0.0015445370227098465,6.0677527926600305e-06,0.7890491485595703,0.16695483525594076,0.0859387715657552
2010-01-12,101272.67203776042,297.73328971862793,-0.0017732754349708557,4.2799115078651084e-05,2.150244394938151,0.03759320576985677,0.08628908793131511
2010-01-13,101448.69954427083,296.3949565887451,-0.0038216672837734222,0.0,0.1620960235595703,-4.232510566711426,0.08617909749348958
2010-01-14,101414.2080078125,297.65088907877606,-0.00263410247862339,1.2868549106315186e-06,-0.21508026123046875,-3.3191882371902466,0.08602714538574219
2010-01-15,101461.39615885417,299.18824195861816,-0.0019867047667503357,1.7070676676667063e-06,-1.1216953595479329,-2.436704476674398,0.08592160542805989
2010-01-16,101565.72054036458,299.5082238515218,-0.0021035131067037582,2.575116411662748e-06,-0.7738965352376302,-2.675956209500631,0.08582878112792969
2010-01-17,101589.76741536458,298.36622556050617,-0.0025557558983564377,8.583063504374877e-07,0.21411736806233725,-2.8804251750310264,0.08575439453125
2010-01-18,101444.845703125,297.30271593729657,-0.0019915923476219177,0.0,0.8989118337631226,-2.569318334261576,0.08567492167154948
2010-01-19,101211.74739583333,298.5721441904704,-0.0022096987813711166,8.52346317969932e-07,-0.03457196553548177,-2.6367673873901367,0.08559799194335938
2010-01-20,101296.3388671875,298.89086151123047,-0.0021007079631090164,8.584264037381217e-07,-0.4677599271138509,-1.2327495416005452,0.0855267842610677
2010-01-21,101212.32698567708,298.636926651001,-0.0023167654871940613,0.0,-0.2796001434326172,-1.8458455403645833,0.08545112609863281
2010-01-22,101227.49283854167,297.5999164581299,-0.0020974399521946907,8.523463748133508e-07,-0.0011545817057291667,-1.1852473020553589,0.08537228902180989
2010-01-23,101179.64762369792,297.1548334757487,-0.0019300729036331177,1.278923605241289e-06,0.5970904032389323,-1.5464890797932942,0.08532396952311198
2010-01-24,101091.31233723958,296.8109900156657,-0.002030680887401104,8.52346317969932e-07,0.6353899637858073,-2.050872723261515,0.08524004618326823
2010-01-25,101094.818359375,298.42993481953937,-0.0026850346475839615,5.684341886080802e-14,-0.1219777266184489,-2.9550787607828775,0.08517901102701823
2010-01-26,101186.56233723958,298.82633145650226,-0.0024593379348516464,1.2874601225121296e-06,-0.8754647572835287,-1.5739397605260212,0.08510971069335938
2010-01-27,101197.845703125,298.3571020762126,-0.002032434567809105,8.463859444418631e-07,-0.553961435953776,-1.0166647831598918,0.08504486083984375
2010-01-28,101230.97802734375,298.48545201619464,-0.0023749396204948425,1.2962814821548818e-06,-0.1330108642578125,-2.441216230392456,0.08499717712402344
2010-01-29,101244.91259765625,298.89517911275226,-0.0025388840585947037,1.2849056929553626e-06,-0.15976778666178384,-3.159413735071818,0.08494122823079427
2010-01-30,101233.11962890625,299.036901473999,-0.002158965915441513,2.5789652227103943e-06,-0.4668252070744832,-2.036341349283854,0.08489100138346355
2010-01-31,101198.56298828125,298.5378170013428,-0.001854785718023777,2.568959644122515e-06,0.4260907967885335,-1.6428152322769165,0.08485094706217448
