date,surface_pressure,temperature_2m,total_evaporation_sum,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
2010-01-01,95294.56022135417,295.3599147796631,-0.0014747362583875656,0.0,-2.3502381642659507,-0.990419864654541,0.13212140401204428
2010-01-02,95440.1845703125,294.17890548706055,-0.001351499930024147,8.52346317969932e-07,-1.9287370045979817,-0.6729937791824341,0.13032023111979166
2010-01-03,95356.59554036458,294.5021171569824,-0.0014534853398799896,8.52346317969932e-07,-1.2554829915364583,-0.7172462145487467,0.1287848154703776
2010-01-04,95149.66162109375,295.9349168141683,-0.0014166571199893951,0.0,-1.5286155541737874,-1.4600439071655273,0.12746111551920572
2010-01-05,95057.4267578125,296.4746920267741,-0.0014094477519392967,4.351138045421976e-07,-1.3960444529851277,-1.5551396210988362,0.126190185546875
2010-01-06,95131.4912109375,294.6926492055257,-0.0012430520728230476,0.0,-2.430871327718099,-0.2789173126220703,0.12520281473795572
2010-01-07,95265.22119140625,294.38888295491535,-0.0010278783738613129,1.0758637358776468e-06,-1.9668655395507812,0.9362646738688151,0.1244494120279948
2010-01-08,95248.93196614583,295.7011610666911,-0.0011555077508091927,8.344650268554688e-07,-1.8902359008789062,0.4927390019098918,0.12374814351399739
2010-01-09,95255.56770833333,296.4634323120117,-0.0006481427699327469,2.0638108253479004e-05,-1.9375670750935872,-0.1415327787399292,0.1233965555826823
2010-01-10,95296.56559244792,297.19683774312335,-0.0008426010608673096,0.00014978520829345143,-2.215901811917623,1.0131231546401978,0.12372525533040364
2010-01-11,95350.61328125,297.0128688812256,-0.0009028501808643341,0.0006125450133822596,-1.9601370493570964,1.2011752128601074,0.12663714090983072
2010-01-12,95377.46370442708,298.0515677134196,-0.0010200459510087967,0.0008192241190840832,-0.3526039123535156,1.5582637786865234,0.12869834899902344
2010-01-13,95476.53287760417,296.38722546895343,-0.001416252925992012,0.015373647212982178,0.7505970001220703,0.34508546193440753,0.2198053995768229
